GCF ID,Strains Number
GCF_c0.30_00093,7
GCF_c0.30_00123,7
GCF_c0.30_00175,4
GCF_c0.30_00176,4
GCF_c0.30_00191,4
GCF_c0.30_00206,3
GCF_c0.30_00330,4
GCF_c0.30_00341,3
GCF_c0.30_00378,12
GCF_c0.30_00382,38
GCF_c0.30_00397,4
GCF_c0.30_00402,4
GCF_c0.30_00406,33
GCF_c0.30_00411,14
GCF_c0.30_00431,3
GCF_c0.30_00439,4
GCF_c0.30_00444,4
GCF_c0.30_00465,3
GCF_c0.30_00476,8
GCF_c0.30_00479,12
GCF_c0.30_00509,3
GCF_c0.30_00567,3
GCF_c0.30_00599,3
GCF_c0.30_00697,6
GCF_c0.30_00829,4
GCF_c0.30_00839,3
GCF_c0.30_00888,5
GCF_c0.30_00908,3
GCF_c0.30_00923,5
GCF_c0.30_00944,21
GCF_c0.30_00949,4
GCF_c0.30_00950,9
GCF_c0.30_00959,8
GCF_c0.30_00978,28
GCF_c0.30_00991,14
GCF_c0.30_00995,136
GCF_c0.30_00999,3
GCF_c0.30_01013,22
GCF_c0.30_01019,149
GCF_c0.30_01020,107
GCF_c0.30_01021,155
GCF_c0.30_01022,57
GCF_c0.30_01023,46
GCF_c0.30_01102,3
GCF_c0.30_01108,4
GCF_c0.30_01132,3
GCF_c0.30_01174,3
GCF_c0.30_01231,4
GCF_c0.30_01278,5
GCF_c0.30_01279,9
GCF_c0.30_01311,4
GCF_c0.30_01343,3
GCF_c0.30_01348,3
GCF_c0.30_01362,8
GCF_c0.30_01391,3
GCF_c0.30_01405,5
GCF_c0.30_01406,5
GCF_c0.30_01484,13
GCF_c0.30_01485,10
GCF_c0.30_01490,24
GCF_c0.30_01493,4
GCF_c0.30_01506,35
GCF_c0.30_01518,3
GCF_c0.30_01519,3
GCF_c0.30_01527,4
GCF_c0.30_01528,3
GCF_c0.30_01529,21
GCF_c0.30_01533,8
GCF_c0.30_01534,11
GCF_c0.30_01535,14
GCF_c0.30_01541,4
GCF_c0.30_01567,3
GCF_c0.30_01641,9
GCF_c0.30_01685,3
GCF_c0.30_01686,3
GCF_c0.30_01687,3
GCF_c0.30_01718,3
GCF_c0.30_01719,3
GCF_c0.30_01770,89
GCF_c0.30_01780,30
GCF_c0.30_01784,19
GCF_c0.30_01788,10
GCF_c0.30_01789,16
GCF_c0.30_01827,24
GCF_c0.30_01845,7
GCF_c0.30_01851,8
GCF_c0.30_01869,43
GCF_c0.30_01875,11
GCF_c0.30_01876,11
GCF_c0.30_01879,4
GCF_c0.30_01882,4
GCF_c0.30_01891,4
GCF_c0.30_01911,52
GCF_c0.30_01921,25
GCF_c0.30_01923,32
GCF_c0.30_01931,8
GCF_c0.30_01949,5
GCF_c0.30_01950,3
GCF_c0.30_01951,3
GCF_c0.30_01958,56
GCF_c0.30_01966,3
GCF_c0.30_01977,23
GCF_c0.30_01978,9
GCF_c0.30_01979,8
GCF_c0.30_02002,69
GCF_c0.30_02009,8
GCF_c0.30_02013,8
GCF_c0.30_02014,12
GCF_c0.30_02015,23
GCF_c0.30_02030,203
GCF_c0.30_02040,165
GCF_c0.30_02042,96
GCF_c0.30_02044,25
GCF_c0.30_02045,5
GCF_c0.30_02046,4
GCF_c0.30_02047,3
GCF_c0.30_02071,3
GCF_c0.30_02078,15
GCF_c0.30_02127,3
GCF_c0.30_02173,8
GCF_c0.30_02175,21
GCF_c0.30_02191,6
GCF_c0.30_02237,4
GCF_c0.30_02239,15
GCF_c0.30_02262,3
GCF_c0.30_02283,11
GCF_c0.30_02343,4
GCF_c0.30_02416,24
GCF_c0.30_02430,3
GCF_c0.30_02431,3
GCF_c0.30_02458,5
GCF_c0.30_02503,3
GCF_c0.30_02556,20
GCF_c0.30_02557,58
GCF_c0.30_02558,12
GCF_c0.30_02659,3
GCF_c0.30_02671,3
GCF_c0.30_02687,11
GCF_c0.30_02747,6
GCF_c0.30_02748,7
GCF_c0.30_02810,7
GCF_c0.30_02910,5
GCF_c0.30_02931,42
GCF_c0.30_02937,4
GCF_c0.30_02938,5
GCF_c0.30_02941,16
GCF_c0.30_03032,5
GCF_c0.30_03037,5
GCF_c0.30_03038,5
GCF_c0.30_03071,22
GCF_c0.30_03193,25
GCF_c0.30_03196,9
GCF_c0.30_03206,4
GCF_c0.30_03226,8
GCF_c0.30_03229,7
GCF_c0.30_03253,12
GCF_c0.30_03270,3
GCF_c0.30_03287,3
GCF_c0.30_03318,3
GCF_c0.30_03404,4
GCF_c0.30_03412,3
GCF_c0.30_03423,4
GCF_c0.30_03433,3
GCF_c0.30_03451,9
GCF_c0.30_03479,8
GCF_c0.30_03499,5
GCF_c0.30_03547,6
GCF_c0.30_03577,17
GCF_c0.30_03578,10
GCF_c0.30_03580,11
GCF_c0.30_03583,35
GCF_c0.30_03647,4
GCF_c0.30_03758,40
GCF_c0.30_03775,8
GCF_c0.30_03815,4
GCF_c0.30_03823,17
GCF_c0.30_03831,4
GCF_c0.30_03838,4
GCF_c0.30_03839,7
GCF_c0.30_03871,12
GCF_c0.30_03966,6
GCF_c0.30_04013,4
GCF_c0.30_04028,23
GCF_c0.30_04062,45
GCF_c0.30_04077,47
GCF_c0.30_04079,18
GCF_c0.30_04080,45
GCF_c0.30_04092,41
GCF_c0.30_04093,13
GCF_c0.30_04095,89
GCF_c0.30_04125,10
GCF_c0.30_04156,6
GCF_c0.30_04158,6
GCF_c0.30_04179,5
GCF_c0.30_04186,4
GCF_c0.30_04280,7
GCF_c0.30_04285,10
GCF_c0.30_04319,7
GCF_c0.30_04343,8
GCF_c0.30_04345,47
GCF_c0.30_04346,5
GCF_c0.30_04383,18
GCF_c0.30_04415,5
GCF_c0.30_04479,48
GCF_c0.30_04604,14
GCF_c0.30_04605,14
GCF_c0.30_04606,14
GCF_c0.30_04607,14
GCF_c0.30_04687,3
GCF_c0.30_04695,3
GCF_c0.30_04698,3
GCF_c0.30_04701,8
GCF_c0.30_04702,10
GCF_c0.30_04731,33
GCF_c0.30_04733,32
GCF_c0.30_04735,22
GCF_c0.30_04764,5
GCF_c0.30_04775,4
GCF_c0.30_04844,4
GCF_c0.30_04856,15
GCF_c0.30_04857,11
GCF_c0.30_04858,7
GCF_c0.30_04862,5
GCF_c0.30_04972,15
GCF_c0.30_04986,7
GCF_c0.30_04987,5
GCF_c0.30_05023,3
GCF_c0.30_05038,3
GCF_c0.30_05039,3
GCF_c0.30_05044,3
GCF_c0.30_05045,3
GCF_c0.30_05102,3
GCF_c0.30_05111,18
GCF_c0.30_05113,36
GCF_c0.30_05118,21
GCF_c0.30_05142,6
GCF_c0.30_05143,4
GCF_c0.30_05151,12
GCF_c0.30_05182,5
GCF_c0.30_05235,6
GCF_c0.30_05238,4
GCF_c0.30_05242,19
GCF_c0.30_05244,12
GCF_c0.30_05299,4
GCF_c0.30_05311,14
GCF_c0.30_05341,10
GCF_c0.30_05342,5
GCF_c0.30_05391,5
GCF_c0.30_05405,10
GCF_c0.30_05406,12
GCF_c0.30_05423,5
GCF_c0.30_05454,13
GCF_c0.30_05469,3
GCF_c0.30_05475,15
GCF_c0.30_05477,4
GCF_c0.30_05478,3
GCF_c0.30_05487,10
GCF_c0.30_05494,22
GCF_c0.30_05499,7
GCF_c0.30_05510,3
GCF_c0.30_05569,3
GCF_c0.30_05590,5
GCF_c0.30_05595,4
GCF_c0.30_05711,4
GCF_c0.30_05727,3
GCF_c0.30_05736,12
GCF_c0.30_05749,26
GCF_c0.30_05755,5
GCF_c0.30_05756,13
GCF_c0.30_05759,8
GCF_c0.30_05780,60
GCF_c0.30_05822,4
GCF_c0.30_05832,4
GCF_c0.30_05835,4
GCF_c0.30_05848,4
GCF_c0.30_05914,5
GCF_c0.30_05966,3
GCF_c0.30_06060,10
GCF_c0.30_06111,3
GCF_c0.30_06120,14
GCF_c0.30_06122,20
GCF_c0.30_06126,11
GCF_c0.30_06128,48
GCF_c0.30_06131,51
GCF_c0.30_06135,329
GCF_c0.30_06136,261
GCF_c0.30_06137,391
GCF_c0.30_06206,9
GCF_c0.30_06222,8
GCF_c0.30_06263,3
GCF_c0.30_06267,3
GCF_c0.30_06268,3
GCF_c0.30_06357,3
GCF_c0.30_06461,3
GCF_c0.30_06527,3
GCF_c0.30_06535,4
GCF_c0.30_06585,6
GCF_c0.30_06663,3
