Metric,CSEL,Stacking_NuSCV,Stacking_Ridge,Stacking_RF,Stacking_ETs,Stacking_LR,DF,Ada,Bagging,BNB,DT,ET,ETs,GBC,GNB,GP,KNN,LDA,LinearSVC,LR,NuSVC,PA,Perceptron,QDA,RF,Ridge,SGD,SVC,XGB
Kappa Standard Error,0.081994835,0.103174359,0.102700605,0.103300888,0.102371837,0.105599811,0.104951036,0.108561673,0.107579024,0.110446991,0.109073368,0.109704079,0.102749266,0.109410786,0.109366364,0.112677274,0.110759764,0.108486439,0.107078899,0.107205491,0.104827014,0.10736485,0.103875131,0.10413543,0.103958158,0.105232673,0.105583417,0.108862879,0.107631329
Standard Error,0.040390572,0.050742867,0.050346576,0.051674399,0.051890457,0.051747815,0.052282582,0.053393,0.052323959,0.05241407,0.054346277,0.054261648,0.050774022,0.052325922,0.053892215,0.054495563,0.055347381,0.053929472,0.05319115,0.052656499,0.051503413,0.053885113,0.052181947,0.055179538,0.050822055,0.051517779,0.0530997,0.052427078,0.053103913
Response Entropy,0.98785158,0.978927894,0.973309133,0.986962025,0.977919303,0.964912158,0.96632263,0.965776789,0.945661279,0.843246025,0.99290897,0.981309842,0.980000293,0.908175627,0.908648307,0.952136555,0.962485576,0.991286224,0.996031885,0.973650056,0.959336227,0.961510284,0.99635554,0.543793317,0.939850252,0.966059975,0.977134191,0.914317538,0.963443611
Reference Entropy,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.992566014,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699,0.977419699
Cross Entropy,0.992866347,0.998288656,0.999306637,1.014444412,1.04447429,1.007740371,1.029802525,1.011031121,1.015994675,1.096754476,1.002088711,1.003378294,1.003822748,1.031854376,1.077704666,1.002768798,1.038709373,1.001221126,0.994815602,1.001626881,1.017882557,1.049150234,1.01057867,1.74101533,1.031012909,1.004840713,1.033528349,1.037899771,1.019073256
Joint Entropy,1.605449965,1.829813207,1.818212035,1.851811822,1.836784039,1.842529045,1.862435183,1.885299295,1.842028499,1.731458483,1.933581699,1.921836711,1.82751683,1.809897436,1.835786745,1.902286489,1.929179923,1.921316175,1.907511968,1.87443178,1.825344779,1.883616331,1.876329785,1.502350941,1.788046176,1.838706363,1.879976469,1.809325057,1.872229824
Conditional Entropy,0.628030266,0.852393508,0.840792336,0.874392122,0.85936434,0.865109346,0.869869169,0.907879596,0.864608799,0.754038784,0.956162,0.944417012,0.850097131,0.832477737,0.858367046,0.92486679,0.951760224,0.943896476,0.930092269,0.897012081,0.84792508,0.906196631,0.898910085,0.524931242,0.810626477,0.861286664,0.902556769,0.831905358,0.894810125
KL Divergence,0.015446648,0.020868956,0.021886937,0.037024713,0.06705459,0.030320672,0.037236511,0.033611422,0.038574975,0.119334776,0.024669012,0.025958595,0.026403048,0.054434677,0.100284967,0.025349098,0.061289674,0.023801427,0.017395903,0.024207182,0.040462858,0.071730534,0.033158971,0.763595631,0.05359321,0.027421014,0.05610865,0.060480071,0.041653557
Hamming Loss,0.213796296,0.303518519,0.291141975,0.323425926,0.320864198,0.318425926,0.3325,0.363271605,0.336080247,0.33345679,0.39808642,0.398271605,0.306111111,0.343549383,0.388055556,0.402993827,0.452654321,0.378179012,0.360617284,0.340771605,0.313333333,0.377962963,0.340802469,0.502222222,0.300987654,0.310987654,0.358271605,0.333487654,0.353271605
FNR,0.246613484,0.365861991,0.339445201,0.340458218,0.301222532,0.400433136,0.381689964,0.449702118,0.458975627,0.565423624,0.406917685,0.430484362,0.354609301,0.513222486,0.27306857,0.535815615,0.525217178,0.375719439,0.380250263,0.417007916,0.407705591,0.376222001,0.330274119,0.094235326,0.426859595,0.393945988,0.349688233,0.492820335,0.434692308
FPR,0.181497482,0.243083807,0.24760793,0.293119426,0.312628264,0.243561026,0.28303352,0.285122317,0.228646198,0.139684022,0.385352731,0.367220007,0.253318998,0.204902812,0.508348462,0.295957979,0.377417967,0.378692325,0.338266402,0.27097411,0.224584907,0.365218136,0.335458237,0.839371732,0.184916886,0.235690656,0.349608058,0.199686664,0.273687494
FDR,0.245126999,0.329462704,0.32234106,0.353763901,0.352147485,0.341680252,0.346951507,0.384896064,0.34451727,0.286687843,0.443568721,0.442570881,0.331960343,0.348340146,0.459356905,0.443294136,0.494828576,0.431756889,0.4055513,0.369910873,0.323985723,0.423142253,0.38605145,0.532836049,0.28952977,0.32954305,0.393694485,0.323362089,0.381210856
FOR,0.18879845,0.283992902,0.267709751,0.284557481,0.262101557,0.300329712,0.306767363,0.341911388,0.329706727,0.349624686,0.353449883,0.358496199,0.281845525,0.345790888,0.294695763,0.38281449,0.406202159,0.32751259,0.320598007,0.318855444,0.299234047,0.315033911,0.289287084,0.303809524,0.300295463,0.296743893,0.304857147,0.335346648,0.326769642
ERR,0.213796296,0.303518519,0.291141975,0.323425926,0.320864198,0.318425926,0.3325,0.363271605,0.336080247,0.33345679,0.39808642,0.398271605,0.306111111,0.343549383,0.388055556,0.402993827,0.452654321,0.378179012,0.360617284,0.340771605,0.313333333,0.377962963,0.340802469,0.502222222,0.300987654,0.310987654,0.358271605,0.333487654,0.353271605
dInd,0.310117087,0.443733291,0.427965197,0.463194985,0.462416129,0.4750638,0.493238284,0.538924617,0.515039694,0.585675318,0.564775535,0.574164048,0.445602616,0.553498717,0.605286163,0.612384923,0.657895734,0.538923273,0.510833385,0.500642071,0.47455736,0.552019402,0.477736398,0.847070561,0.472170738,0.464369062,0.514135834,0.538262092,0.522119942
CEN,0.625764787,0.849644113,0.834065299,0.84442194,0.812698885,0.873515038,0.861955655,0.921172181,0.903071442,0.855873204,0.932320191,0.939899671,0.840982964,0.908639412,0.840583876,0.972900245,0.970747423,0.912855734,0.903144682,0.901594884,0.859077272,0.881637771,0.856002132,0.666601991,0.842161034,0.870496385,0.870241486,0.890663208,0.902543415
MCEN,0.754892489,0.966576473,0.961039368,0.95311554,0.917111073,0.976609564,0.965535905,1.000941647,0.988018993,0.883127633,1.014253588,1.015252837,0.954750825,0.977332941,0.92661925,1.026591427,1.008680867,1.006184023,1.002716803,0.997280901,0.956135566,0.960418686,0.96418064,0.675150866,0.933648461,0.978387,0.964880622,0.957750416,0.984547182
Overall CEN,0.586283225,0.793165848,0.781769445,0.807828516,0.786368188,0.810808609,0.822507241,0.859866129,0.822436925,0.748849722,0.904152634,0.899717371,0.789370307,0.813038187,0.834796061,0.900525153,0.928649741,0.886926534,0.869598031,0.842654704,0.793397687,0.853814288,0.832299918,0.642256692,0.76276521,0.804899273,0.840965549,0.800199018,0.84443715
Overall MCEN,0.460776429,0.611638311,0.602593675,0.619828485,0.596253249,0.624048953,0.63229855,0.663876088,0.633400945,0.564241906,0.701930829,0.698915645,0.607360225,0.627022376,0.639251064,0.701737945,0.724692824,0.686716036,0.673336328,0.650409351,0.608081193,0.654645455,0.641280883,0.461911745,0.582024639,0.619036977,0.644836222,0.611949041,0.650232867
