np_class,BGC_num1,colors_inner,Genus,BGC_num2,colors_outer1,colors_outer2,colors_outer3
NRPs,1416,#696969,Bacillus,763,#ff7f7f,#ff7f7f,#fab166
RiPPs,1789,#808080,Pseudomonas,494,#ff8484,#ff9393,#e33199
PKs,332,#A9A9A9,Burkholderia,62,#ff8989,#ff9e9e,#ffd669
Terpenes,897,#C0C0C0,Streptomyces,59,#ff8e8e,#ffa8a8,#741b47
Saccharides,8,#DCDCDC,Pseudoalteromonas,13,#ff9393,#ffadad,#ffff00
,,,Nocardia,10,#ff9999,#ffb2b2,#6ba9e0
,,,Leptolyngbya,8,#ff9e9e,#ffb7b7,#8dc781
,,,Amycolatopsis,4,#ffa3a3,#ffbcbc,#e96162
,,,Xenorhabdus,3,#ffa8a8,#ffc1c1,#2a4e71
,,,Bacillus,668,#7fbfff,#7fbfff,#fab166
,,,Pseudomonas,629,#84c1ff,#93c9ff,#e33199
,,,Streptomyces,235,#89c4ff,#9eceff,#741b47
,,,Burkholderia,207,#8ec6ff,#a8d3ff,#ffd669
,,,Pseudoalteromonas,30,#93c9ff,#add6ff,#ffff00
,,,Leptolyngbya,12,#99ccff,#b2d8ff,#8dc781
,,,Nostoc,8,#a3d1ff,#bcddff,#c775a8
,,,Bacillus,284,#7fff7f,#7fff7f,#fab166
,,,Pseudomonas,14,#84ff84,#93ff93,#e33199
,,,Streptomyces,14,#89ff89,#9eff9e,#741b47
,,,Nocardia,9,#8eff8e,#a8ffa8,#6ba9e0
,,,Amycolatopsis,4,#93ff93,#adffad,#e96162
,,,Burkholderia,4,#99ff99,#b2ffb2,#ffd669
,,,Xenorhabdus,3,#9eff9e,#b7ffb7,#2a4e71
,,,Burkholderia,425,#ffbf7f,#ffbf7f,#ffd669
,,,Bacillus,353,#ffc184,#ffc993,#fab166
,,,Streptomyces,63,#ffc489,#ffce9e,#741b47
,,,Pseudomonas,25,#ffc68e,#ffd3a8,#e33199
,,,Micromonospora,10,#ffc993,#ffd6ad,#77a4b3
,,,Nostoc,7,#ffcc99,#ffd8b2,#c775a8
,,,Nocardia,6,#ffce9e,#ffdbb7,#6ba9e0
,,,Leptolyngbya,4,#ffd1a3,#ffddbc,#8dc781
,,,Sorangium,4,#ffd3a8,#ffe0c1,#bcbdb9
,,,Streptomyces,8,#bf7fff,#bf7fff,#741b47
