,0
Overall ACC,0.6866666666666665
Overall RACCU,0.5148422258420973
Overall RACC,0.5080857053040695
Kappa,0.36128089653820095
Gwet AC1,0.3923598186944385
Bennett S,0.3733333333333333
Kappa Standard Error,0.10482701445862949
Kappa Unbiased,0.3525266925124303
Scott PI,0.3525266925124303
Kappa No Prevalence,0.3733333333333333
Kappa 95% CI,0.5667418448771147
Standard Error,0.05150341294336549
95% CI,0.787613356035663
Chi-Squared,11.838869416028867
Phi-Squared,0.14749145838613953
Cramer V,0.3719901810014461
Response Entropy,0.9593362269684093
Reference Entropy,0.9774196992990019
Cross Entropy,1.0178825571401238
Joint Entropy,1.8253447793137483
Conditional Entropy,0.847925080014746
Mutual Information,0.11141114695366316
KL Divergence,0.04046285784112167
Lambda B,0.20071121827338745
Lambda A,0.25767523135944187
Chi-Squared DF,1.0
Overall J,0.5157046141269008
Hamming Loss,0.31333333333333335
Zero-one Loss,25.2
NIR,0.5668518518518518
P-Value,0.13721389182638632
Overall CEN,0.7933976873499525
Overall MCEN,0.6080811925027374
Overall MCC,0.37199018100144604
RR,40.2
CBA,0.6095792770245084
AUNU,0.683854751111707
AUNP,0.683854751111707
RCI,0.11339049816498825
Pearson C,0.3449393150387149
TPR Micro,0.6866666666666665
TPR Macro,0.683854751111707
CSI,0.37224486615305064
ARI,0.13499533880710718
TNR Micro,0.6866666666666665
TNR Macro,0.683854751111707
Bangdiwala B,0.4955133628721726
Krippendorff Alpha,0.35655173888153724
FPR Macro,0.31614524888829304
FNR Macro,0.31614524888829304
PPV Macro,0.6883901150413438
ACC Macro,0.6866666666666665
F1 Macro,0.6762633462562151
FPR Micro,0.31333333333333335
FNR Micro,0.31333333333333335
PPV Micro,0.6866666666666665
F1 Micro,0.6866666666666665
TPR,0.5922944094302725
TNR,0.7754150927931415
PPV,0.6760142766784133
NPV,0.7007659534042741
FNR,0.40770559056972766
FPR,0.22458490720685842
FDR,0.3239857233215867
FOR,0.2992340465957259
ACC,0.6866666666666665
F1,0.6220999648441822
MCC,0.37199018100144604
BM,0.367709502223414
MK,0.3767802300826874
PLR,3.0373655310397276
NLR,0.526624610158882
DOR,6.303988997113997
TP,21.2
TN,34.0
FP,10.4
FN,14.8
POP,80.4
P,36.0
N,44.4
TOP,31.6
TON,48.8
PRE,0.4481481481481481
G,0.628088627058074
RACC,0.1745984082075903
F0.5,0.6512080915035993
F2,0.6015295189960425
ERR,0.31333333333333335
RACCU,0.17797666847660418
J,0.4555374512936955
IS,0.5877676281348082
CEN,0.8590772716179673
MCEN,0.9561355660086821
AUC,0.683854751111707
sInd,0.6644372724359743
dInd,0.47455736034795315
DP,0.40346768434771707
Y,0.367709502223414
GI,0.367709502223414
LS,1.5044938478815137
AM,-4.4
BCD,0.05475308641975309
OP,0.534769790929672
IBA,0.3751566066950315
GM,0.6742504967858253
Q,0.6638707948749654
AGM,0.7086735982181138
AGF,0.6532770578499367
OC,0.716755017419154
OOC,0.6280886270580741
AUPR,0.6341543430543428
ICSI,0.26830868610868563
HD,25.2
BB,0.5515536686895317
