,Overall ACC,Overall RACCU,Overall RACC,Kappa,Gwet AC1,Bennett S,Kappa Standard Error,Kappa Unbiased,Scott PI,Kappa No Prevalence,Kappa 95% CI,Standard Error,95% CI,Chi-Squared,Phi-Squared,Cramer V,Response Entropy,Reference Entropy,Cross Entropy,Joint Entropy,Conditional Entropy,Mutual Information,KL Divergence,Lambda B,Lambda A,Chi-Squared DF,Overall J,Hamming Loss,Zero-one Loss,NIR,P-Value,Overall CEN,Overall MCEN,Overall MCC,RR,CBA,AUNU,AUNP,RCI,Pearson C,TPR Micro,TPR Macro,CSI,ARI,TNR Micro,TNR Macro,Bangdiwala B,Krippendorff Alpha,FPR Macro,FNR Macro,PPV Macro,ACC Macro,F1 Macro,FPR Micro,FNR Micro,PPV Micro,F1 Micro,TPR,TNR,PPV,NPV,FNR,FPR,FDR,FOR,ACC,F1,MCC,BM,MK,PLR,NLR,DOR,TP,TN,FP,FN,POP,P,N,TOP,TON,PRE,G,RACC,F0.5,F2,ERR,RACCU,J,IS,CEN,MCEN,AUC,sInd,dInd,DP,Y,GI,LS,AM,BCD,OP,IBA,GM,Q,AGM,AGF,OC,OOC,AUPR,ICSI,HD,BB
0,0.831718254,0.509238708,0.506644501,0.657793214,0.671274729,0.663436508,0.046783646,0.655127556,0.655127556,0.663436508,0.749489159,0.023055284,0.87690661,109.1707312,0.486138504,0.663429378,0.972912399,0.992567164,1.008373518,1.556247741,0.563680577,0.409231822,0.015806354,0.574458909,0.624227121,1,0.721640022,0.168281746,37.8,0.540503968,7.31E-04,0.527870128,0.411175574,0.663429378,112.3,0.787581391,0.827598299,0.827598299,0.41109825,0.534435311,0.831718254,0.827598299,0.663600872,0.482631384,0.831718254,0.827598299,0.712747199,0.655895237,0.172401701,0.172401701,0.836002572,0.831718254,0.827563778,0.168281746,0.168281746,0.831718254,0.831718254,0.880162874,0.775033725,0.828155682,0.843849462,0.119837126,0.224966275,0.171844318,0.156150538,0.831718254,0.851098104,0.663429378,0.655196599,0.672005145,6.269977759,0.175254077,286.6889459,105.6,81.2,23,14.8,224.6,120.4,104.2,128.6,96,0.536059524,0.85262386,0.307685346,0.83671137,0.867671113,0.168281746,0.308982449,0.75071266,0.62043189,0.501352611,0.665063791,0.827598299,0.812996589,0.26446276,0.944633953,0.655196599,0.655196599,1.554879487,8.2,0.02719246,0.751232737,0.751815487,0.823378975,0.878230448,0.808168072,0.846264458,0.893941609,0.85262386,0.854159278,0.708318556,37.8,0.814376947
1,0.866519841,0.506707825,0.50531712,0.731315862,0.735910031,0.733039683,0.04442578,0.730035215,0.730035215,0.733039683,0.818390391,0.022007921,0.909655365,123.885162,0.551829108,0.734393849,0.985078085,0.991441568,0.99957221,1.525974148,0.53453258,0.450545505,0.008130643,0.687133434,0.708702166,1,0.766991434,0.133480159,30,0.545892857,1.66E-13,0.493261324,0.388284167,0.734393849,112.3,0.838283007,0.865874502,0.865874502,0.455047362,0.587095129,0.866519841,0.865874502,0.734410576,0.549496516,0.866519841,0.865874502,0.758770282,0.730635808,0.134125498,0.134125498,0.868536074,0.866519841,0.865017608,0.133480159,0.133480159,0.866519841,0.866519841,0.904046889,0.827702116,0.855577465,0.881494683,0.095953111,0.172297884,0.144422535,0.118505317,0.866519841,0.877883464,0.734393849,0.731749005,0.737072148,6.672489616,0.121145994,71.35946789,109,85.6,18.6,11.4,224.6,120.4,104.2,127.6,97,0.536115079,0.878845461,0.304771655,0.864103356,0.893043559,0.133480159,0.305467008,0.78684418,0.670786776,0.465966697,0.650107138,0.865874502,0.859651045,0.198483395,0.94854971,0.731749005,0.731749005,1.594704962,7.2,0.01778373,0.819548345,0.801291687,0.86423834,0.945756651,0.852227843,0.8809588,0.906809351,0.878845461,0.879812177,0.759624354,30,0.852815004
2,0.878043651,0.506548524,0.505846847,0.752588547,0.760072644,0.756087302,0.041248285,0.751929051,0.751929051,0.756087302,0.833435186,0.020353838,0.917937174,134.2441866,0.597766548,0.754154625,0.984590352,0.994385264,0.998532146,1.473855061,0.479469798,0.505120555,0.004146882,0.706358028,0.734327488,1,0.789460967,0.121956349,27.4,0.536996032,3.43E-09,0.447064193,0.354129633,0.754154625,112.3,0.852749643,0.875076135,0.875076135,0.507765848,0.590893899,0.878043651,0.875076135,0.75417947,0.598389604,0.878043651,0.875076135,0.782536722,0.752481134,0.124923865,0.124923865,0.879103335,0.878043651,0.875964526,0.121956349,0.121956349,0.878043651,0.878043651,0.914447219,0.835705051,0.869794236,0.888412435,0.085552781,0.164294949,0.130205764,0.111587565,0.878043651,0.891224684,0.754154625,0.75015227,0.75820667,8.180726277,0.116502483,228.1189158,110,87.2,17,10.4,224.6,120.4,104.2,127,97.6,0.536107143,0.891672394,0.303707154,0.878167829,0.904925543,0.121956349,0.304057992,0.811060818,0.692353079,0.42015647,0.590643621,0.875076135,0.86833392,0.186203956,1.067207585,0.75015227,0.75015227,1.6271139,6.6,0.014676587,0.829165823,0.824133392,0.87353401,0.933190526,0.861581127,0.890713508,0.914447219,0.891672394,0.892120727,0.784241455,27.4,0.869794236
3,0.843440476,0.50500244,0.504002492,0.684334057,0.69041395,0.686880952,0.045061914,0.683242974,0.683242974,0.686880952,0.772655409,0.022345805,0.887238253,115.1003468,0.512906196,0.686222521,0.98762828,0.994988407,1.000852791,1.552885812,0.557897405,0.429730875,0.005864384,0.630835778,0.666992371,1,0.740513662,0.156559524,35.2,0.536059524,2.15E-09,0.519119121,0.407918128,0.686222521,112.3,0.815598079,0.84203987,0.84203987,0.432203844,0.549199699,0.843440476,0.84203987,0.68624332,0.511819561,0.843440476,0.84203987,0.726149558,0.683947395,0.15796013,0.15796013,0.84420345,0.843440476,0.841621487,0.156559524,0.156559524,0.843440476,0.843440476,0.876033829,0.808045911,0.842570898,0.845836002,0.123966171,0.191954089,0.157429102,0.154163998,0.843440476,0.858047361,0.686222521,0.684079741,0.688406899,8.691105393,0.174746864,136.9016719,105.6,83.8,20.4,14.8,224.6,120.4,104.2,126,98.6,0.536059524,0.858674252,0.300515135,0.848485694,0.868510381,0.156559524,0.301015109,0.762618827,0.639429321,0.492527449,0.662180329,0.84203987,0.836844141,0.230737229,0.926878097,0.684079741,0.684079741,1.568702022,5.6,0.017787698,0.790663269,0.754197553,0.840270691,0.88901596,0.829830232,0.852566356,0.884857933,0.858674252,0.859302364,0.718604727,35.2,0.833746794
4,0.835301587,0.506948977,0.506234971,0.666379213,0.674983706,0.670603175,0.046200361,0.665951772,0.665951772,0.670603175,0.756931919,0.022792048,0.879974002,110.3028795,0.491214689,0.668511426,0.984096373,0.993630947,0.997876439,1.563168207,0.56953726,0.414559113,0.004245492,0.628686853,0.637375181,1,0.727909349,0.164698413,37,0.536063492,1.08E-06,0.53104305,0.415419469,0.668511426,112.3,0.804503495,0.831682089,0.831682089,0.416575763,0.538158391,0.835301587,0.831682089,0.668567324,0.490720561,0.835301587,0.831682089,0.71357765,0.666695262,0.168317911,0.168317911,0.836885235,0.835301587,0.832975886,0.164698413,0.164698413,0.835301587,0.835301587,0.867320645,0.796043532,0.832331346,0.841439123,0.132679355,0.203956468,0.167668654,0.158560877,0.835301587,0.848843216,0.668511426,0.663364178,0.673770469,6.378056861,0.18505038,369.6907152,104.2,83.4,20.8,16.2,224.6,120.4,104.2,125,99.6,0.536063492,0.849334386,0.299423041,0.838710791,0.859682434,0.164698413,0.299780044,0.749817104,0.630288953,0.506153778,0.669618224,0.831682089,0.822999341,0.250316732,0.955066289,0.663364178,0.663364178,1.561645557,4.6,0.017353175,0.785706508,0.754098657,0.830356568,0.87670201,0.81972616,0.845220223,0.876844455,0.849334386,0.849825996,0.699651992,37,0.822807537
5,0.861892857,0.507704437,0.507026182,0.720888816,0.726843467,0.723785714,0.045092837,0.720553865,0.720553865,0.723785714,0.809270776,0.022256994,0.905516566,121.5154344,0.540826787,0.723035788,0.981680208,0.993983487,0.997995041,1.533571073,0.539587586,0.442092622,0.004011554,0.68538255,0.705795321,1,0.760636365,0.138107143,31,0.537805556,1.61E-12,0.502158815,0.395265022,0.723035788,112.3,0.830761156,0.85813307,0.85813307,0.445280319,0.578742104,0.861892857,0.85813307,0.723080711,0.540001338,0.861892857,0.85813307,0.75136834,0.721176329,0.14186693,0.14186693,0.864947641,0.861892857,0.860276933,0.138107143,0.138107143,0.861892857,0.861892857,0.900353586,0.815912554,0.845609758,0.884285524,0.099646414,0.184087446,0.154390242,0.115714476,0.861892857,0.872031259,0.723035788,0.71626614,0.729895282,5.38242121,0.129519871,69.77297425,108.8,84.8,19.4,11.6,224.6,120.4,104.2,128.2,96.4,0.536019841,0.872506294,0.306884123,0.855963517,0.888782666,0.138107143,0.30722325,0.779548127,0.654840423,0.475911009,0.657424417,0.85813307,0.849517236,0.212814766,0.943290961,0.71626614,0.71626614,1.576725003,7.8,0.01735119,0.813411649,0.803086862,0.856957301,0.932041252,0.844119509,0.879116418,0.900353586,0.872506294,0.872981672,0.745963344,31,0.845609758
6,0.863797619,0.505715094,0.50559042,0.724040456,0.73113177,0.727595238,0.043886915,0.723910048,0.723910048,0.727595238,0.810058809,0.021692567,0.906315051,123.8994135,0.551724574,0.724292051,0.992779509,0.99030821,0.99103971,1.527195557,0.536887347,0.455892162,0.0007315,0.698975235,0.690190223,1,0.766438431,0.136202381,30.6,0.55027381,2.50E-05,0.49524414,0.392012458,0.724292051,112.3,0.852956259,0.862480627,0.862480627,0.459635102,0.575884851,0.863797619,0.862480627,0.724296154,0.553181211,0.863797619,0.862480627,0.755871785,0.724524488,0.137519373,0.137519373,0.861815528,0.863797619,0.861955024,0.136202381,0.136202381,0.863797619,0.863797619,0.874841918,0.850119335,0.873580569,0.850050486,0.125158082,0.149880665,0.126419431,0.149949514,0.863797619,0.874054179,0.724292051,0.724961253,0.723631055,7.958585452,0.159556617,101.2761597,105,89,15.2,15.4,224.6,120.4,104.2,120.2,104.4,0.535988095,0.874132701,0.288348781,0.873731362,0.874490043,0.136202381,0.288411118,0.782398032,0.706547462,0.477078304,0.661860753,0.862480627,0.861807011,0.1954344,0.953204861,0.724961253,0.724961253,1.64420008,-0.2,0.005787698,0.848626309,0.767373736,0.862348933,0.920893586,0.858577171,0.86188007,0.88294551,0.874132701,0.874211244,0.748422487,30.6,0.865476977
7,0.850265873,0.503375573,0.502969905,0.698925068,0.702533482,0.700531746,0.045034847,0.698486015,0.698486015,0.700531746,0.787193368,0.022383763,0.894138048,118.3784238,0.52675128,0.699685796,0.995302996,0.993758688,0.996111889,1.553994053,0.560235365,0.435067632,0.002353201,0.683335959,0.667267918,1,0.749392093,0.149734127,33.6,0.540555556,3.44E-04,0.518210467,0.409233184,0.699685796,112.3,0.8314458,0.849920973,0.849920973,0.437178358,0.558272556,0.850265873,0.849920973,0.699690817,0.52595345,0.850265873,0.849920973,0.7345371,0.699157847,0.150079027,0.150079027,0.849769844,0.850265873,0.849243007,0.149734127,0.149734127,0.850265873,0.850265873,0.85868987,0.841152077,0.862906399,0.836633288,0.14131013,0.158847923,0.137093601,0.163366712,0.850265873,0.860264117,0.699685796,0.699841947,0.699539687,6.941482785,0.18496057,81.24704254,103,88,16.2,17.4,224.6,120.4,104.2,119.2,105.4,0.536111111,0.860531009,0.284899635,0.861715715,0.859196581,0.149734127,0.285102469,0.764667189,0.683235322,0.498821621,0.67993297,0.849920973,0.84828232,0.214561201,0.912212178,0.699841947,0.699841947,1.618369425,-1.2,0.011585317,0.834093354,0.747015094,0.849716638,0.896042777,0.84693795,0.848015029,0.87827106,0.860531009,0.860798135,0.721596269,33.6,0.843325209
8,0.90293254,0.504798223,0.504333999,0.804250108,0.807619833,0.805865079,0.039617387,0.804065951,0.804065951,0.805865079,0.881900187,0.019640769,0.941428446,146.1490963,0.65069376,0.805778675,0.99022573,0.994543892,0.997262664,1.441721612,0.44717772,0.543048011,0.002718772,0.783164138,0.790601176,1,0.822212172,0.09706746,21.8,0.536047619,1.11E-16,0.413068346,0.329525763,0.805778675,112.3,0.882575978,0.901683832,0.901683832,0.546141093,0.626943551,0.90293254,0.901683832,0.805795113,0.649256634,0.90293254,0.901683832,0.818061073,0.804502166,0.098316168,0.098316168,0.904111281,0.90293254,0.902032976,0.09706746,0.09706746,0.90293254,0.90293254,0.923814865,0.879552799,0.898578749,0.909643813,0.076185135,0.120447201,0.101421251,0.090356187,0.90293254,0.910499462,0.805778675,0.803367664,0.808222562,8.40174303,0.08638711,111.2142694,111.2,91.6,12.6,9.2,224.6,120.4,104.2,123.8,100.8,0.536047619,0.910847967,0.295811841,0.903190741,0.918309654,0.09706746,0.296043953,0.836186567,0.746067296,0.391909029,0.575081779,0.901683832,0.896467352,0.146417275,1.103181975,0.803367664,0.803367664,1.678605417,3.4,0.011152778,0.878274979,0.847832509,0.901062036,0.977952865,0.894167904,0.910584715,0.929626804,0.910847967,0.911196807,0.822393614,21.8,0.89276681
9,0.894920635,0.503818652,0.503549656,0.788410634,0.791353047,0.78984127,0.041146683,0.788296412,0.788296412,0.78984127,0.869058132,0.020430079,0.93496359,140.0086609,0.623355841,0.789267985,0.994052319,0.994129284,0.995687462,1.474127126,0.479997842,0.514054477,0.001558178,0.773633507,0.770131021,1,0.808830308,0.105079365,23.6,0.543174603,1.78E-16,0.441537924,0.351838228,0.789267985,112.3,0.878599578,0.894595919,0.894595919,0.517134016,0.619399825,0.894920635,0.894595919,0.789271788,0.622593002,0.894920635,0.894595919,0.802856539,0.788767721,0.105404081,0.105404081,0.894675869,0.894920635,0.894148206,0.105079365,0.105079365,0.894920635,0.894920635,0.901934901,0.887256937,0.901850116,0.887501622,0.098065099,0.112743063,0.098149884,0.112498378,0.894920635,0.901457358,0.789267985,0.789191838,0.789351738,8.404294038,0.110153703,78.64765201,108.6,92.4,11.8,11.8,224.6,120.4,104.2,120.4,104.2,0.536031746,0.901674859,0.287818479,0.901584038,0.901643713,0.105079365,0.287952977,0.820864491,0.752027968,0.423083508,0.615046141,0.894595919,0.892122709,0.152561527,1.038521173,0.789191838,0.789191838,1.685231682,0,0.008900794,0.871629922,0.811735927,0.894313852,0.9735056,0.892031127,0.894336048,0.917073554,0.901674859,0.901892508,0.803785017,23.6,0.886711463
